Title,Url,Date
臺灣證券交易所訂於1月28日召開有價證券上市審議委員會第877次會議，將審議永悅健康(股)公司之申請股票創新板上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bf9c83f780087,1150126
上週外資在集中市場賣超338.60億元，賣超友達17.18萬張最多，另買超聯電9.51萬張最多,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bf96a7da10074,1150126
證交所攜手資誠合辦交流會 助前瞻產業鏈結創新板,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bf9634b35006d,1150126
本週發行量加權股價指數漲幅約為1.76%，上市股票總市值達104.18兆元,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bea3ae0190051,1150123
臺灣證券交易所訂於1月27日召開有價證券上市審議委員會第876次會議，將審議享溫馨企業(股)公司之申請股票上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019be9f2a32d004d,1150123
久舜(證券代號：5547)採競價拍賣方式辦理承銷，於今(1/23)日順利完成,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019be9b1df910047,1150123
達興材料股份有限公司等2家公司預計於115年2月份假證交所場地自行舉辦法人說明會,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019be9aa15790043,1150123
證交所攜手文總推出全新影像企劃　《創新辦桌》　全新舞臺力推臺灣新創人才！,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019be97cd12b0041,1150123
證交所持續推動永續行動 啟動115年「地球特攻隊」SDGs活動,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019be95b0073003d,1150123
心誠鎂(證券代號：6934)採競價拍賣方式辦理承銷，於今(1/22)日順利完成,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019be522d8370039,1150122
臺灣證券交易所有價證券上市審議委員會審議通過晉鋒科技(開曼)股份有限公司（Apistek Technology (Cayman) Ltd）初次申請股票第一上市案,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bdfbe4b920031,1150121
大東電業廠股份有限公司股票自115年1月22日開始上市買賣,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bdfb8a463002d,1150121
"全體證券商114年12月份稅後淨利130.14億元，累計稅後淨利1,102.54億元",https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69bde495d019bdf6db5cd0029,1150121
文曄科技股份有限公司(文曄，公司代號：3036)發行之甲種特別股(文曄甲特，股票代號：3036A)將於115年2月26日終止上市,https://www.twse.com.tw/zh/about/news/news/content.html?8a8216d69a3d6cf9019bdacc4552079a,1150120
